Symbol,Current Stock Price,Predicted Short Position,Difference,Company Name,Sector,Industry,Market Capital,P/E Ratio,P/B Ratio,PEG Ratio,Dividend Yield,EPS,Revenue,Profit Margin,EBITDA,Earnings Date
GEN,$30.85,$20.79,"$10.06
",Gen Digital Inc.,Technology,Software - Infrastructure,18945222656.0,31.055555,9.026718,Not Available,0.0162,0.99,3863000064.0,0.16153,1808999936.0,Not Available
WBA,$9.02,$10.08,"$-1.06
","Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers,7630244864.0,Not Available,0.73000246,Not Available,0.1114,-10.01,147657998336.0,-0.05849,2884000000.0,Not Available
LVS,$53.06,$39.59,"$13.47
",Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,39231156224.0,26.787128,11.4494295,Not Available,0.0145000005,2.02,11317000192.0,0.1329,3863000064.0,Not Available
HCA,$327.22,$264.27,"$62.95
","HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,82902843392.0,14.690081,Not Available,Not Available,0.0081,22.28,69620998144.0,0.085159995,13747000320.0,Not Available
AJG,$312.24,$229.57,"$82.67
",Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,67506458624.0,58.706528,5.5394483,Not Available,0.0078,5.24,10667700224.0,0.10988,3382200064.0,Not Available
DTE,$125.78,$105.18,"$20.60
",DTE Energy Company,Utilities,Utilities - Regulated Electric,25824458752.0,16.896341,2.2277706,Not Available,0.033,7.38,12414999552.0,0.12332,3448000000.0,Not Available
C,$70.87,$47.45,"$23.42
",Citigroup Inc.,Financial Services,Banks - Diversified,135206174720.0,20.367521,0.701522,Not Available,0.0305,3.51,69307998208.0,0.11524,Not Available,Not Available
T,$23.16,$16.80,"$6.36
",AT&T Inc.,Communication Services,Telecom Services,169300951040.0,19.182926,1.6539325,Not Available,0.048899997,1.23,122059997184.0,0.07419,42773000192,Not Available
CF,$89.66,$71.52,"$18.14
","CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,16263909376.0,14.811411,3.1367679,Not Available,0.022,6.31,5983000064.0,0.19455,2651000064,Not Available
MGM,$38.34,$35.51,"$2.83
",MGM Resorts International,Consumer Cyclical,Resorts & Casinos,11108679680.0,13.372761,3.4273381,Not Available,Not Available,2.79,17221656576.0,0.052410003,2556987904,Not Available
HUM,$296.38,$266.36,"$30.02
",Humana Inc.,Healthcare,Healthcare Plans,35353272320.0,25.619984,2.0127165,Not Available,0.0121,11.46,115010002944.0,0.011820001,3779000064,Not Available
CBOE,$215.85,$172.92,"$42.93
","Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,22185056256.0,28.911324,5.2712483,Not Available,0.0119,7.33,3955599872.0,0.19729,1290400000,Not Available
CFG,$48.14,$28.61,"$19.53
","Citizens Financial Group, Inc.",Financial Services,Banks - Regional,20501409792.0,18.243137,0.90760106,Not Available,0.0357,2.55,7114999808.0,0.18229,Not Available,Not Available
APH,$72.65,$47.89,"$24.76
",Amphenol Corporation,Technology,Electronic Components,87177658368.0,41.32,9.220861,Not Available,0.009,1.75,14232399872.0,0.15403,3586299904,Not Available
SYY,$77.11,$70.48,"$6.63
",Sysco Corporation,Consumer Defensive,Food Distribution,38595624960.0,20.197943,17.48331,Not Available,0.026700001,3.89,79707996160.0,0.024360001,4410999808,Not Available
MSI,$499.70,$328.19,"$171.51
","Motorola Solutions, Inc.",Technology,Communication Equipment,82925436928.0,54.28884,62.454372,Not Available,0.0088,9.14,10654999552.0,0.1466,3152000000,Not Available
FCX,$44.20,$38.09,"$6.11
",Freeport-McMoRan Inc.,Basic Materials,Copper,62995013632.0,31.768116,3.5899117,Not Available,0.0137,1.38,25639999488.0,0.07812,9900000256,Not Available
ADM,$54.60,$53.89,"$0.71
",Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,25651816448.0,15.057585,1.1395378,Not Available,0.0379,3.56,88768004096.0,0.0293,3988000000,Not Available
LH,$241.16,$197.88,"$43.28
",Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,20215199744.0,45.86243,2.4760535,Not Available,0.012,5.27,12712800256.0,0.03426,1673500032,Not Available
SOLV,$71.51,$50.74,"$20.77
",Solventum Corporation,Healthcare,Health Information Services,12178504704.0,185.51317,3.8152843,Not Available,Not Available,0.38,8215000064.0,0.08764,1840000000,Not Available
BLDR,$186.47,$140.34,"$46.13
","Builders FirstSource, Inc.",Industrials,Building Products & Equipment,21123276800.0,17.924316,4.7698803,Not Available,Not Available,10.24,16731047936.0,0.07401,2349128960,Not Available
LNT,$63.20,$49.03,"$14.17
",Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,15980986368.0,24.233463,2.2935002,Not Available,0.0308,2.57,3966000128.0,0.16667,1636999936,Not Available
BAC,$47.51,$31.38,"$16.13
",Bank of America Corporation,Financial Services,Banks - Diversified,358016581632.0,16.905798,1.3191599,Not Available,0.0221,2.76,94625996800.0,0.24952,Not Available,Not Available
PSX,$133.98,$123.47,"$10.51
",Phillips 66,Energy,Oil & Gas Refining & Marketing,56199544832.0,17.37931,1.9566625,Not Available,0.0337,7.83,147738001408.0,0.0228,5571999744,Not Available
GPN,$118.96,$96.89,"$22.07
",Global Payments Inc.,Industrials,Specialty Business Services,29952790528.0,22.206602,1.3125788,Not Available,0.0085,5.3,10024320000.0,0.13612,4356144128,Not Available
HUBB,$460.09,$313.55,"$146.54
",Hubbell Incorporated,Industrials,Electrical Equipment & Parts,24442083328.0,32.76331,7.6025844,Not Available,0.0115,13.9,5640000000.0,0.1333,1266200064,Not Available
PPG,$124.37,$121.56,"$2.81
","PPG Industries, Inc.",Basic Materials,Specialty Chemicals,29084680192.0,19.86767,3.7345467,Not Available,0.0211,6.31,18030000128.0,0.08242,2870000128,Not Available
TECH,$75.36,$63.91,"$11.45
",Bio-Techne Corporation,Healthcare,Biotechnology,12017001472.0,79.61053,5.618453,Not Available,0.0042,0.95,1171582976.0,0.12864,308515008,Not Available
IRM,$123.67,$69.70,"$53.97
",Iron Mountain Incorporated,Real Estate,REIT - Specialty,35840270336.0,339.24997,Not Available,Not Available,0.0235,0.36,5988459008.0,0.01748,2001980032,Not Available
IQV,$200.84,$198.02,"$2.82
",IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,36130459648.0,26.158463,5.188737,Not Available,Not Available,7.61,15315000320.0,0.09174,2827000064,Not Available
ESS,$310.46,$222.34,"$88.12
","Essex Property Trust, Inc.",Real Estate,REIT - Residential,20133482496.0,35.398712,3.575458,Not Available,0.0322,8.54,1752440064.0,0.31354,1109452032,Not Available
WBD,$10.48,$7.29,"$3.19
","Warner Bros. Discovery, Inc.",Communication Services,Entertainment,25537499136.0,Not Available,0.7272092,Not Available,Not Available,-4.58,39578001408.0,-0.28342,7144999936,Not Available
HAL,$31.86,$28.85,"$3.01
",Halliburton Company,Energy,Oil & Gas Equipment & Services,27747485696.0,11.043706,2.693357,Not Available,0.0215,2.86,23072999424.0,0.11038999,5112000000,Not Available
STZ,$240.95,$233.81,"$7.14
","Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,43007975424.0,75.428345,5.4614105,Not Available,0.017,3.14,10190799872.0,0.05687,3887300096,Not Available
BG,$89.74,$85.83,"$3.91
",Bunge Global SA,Consumer Defensive,Farm Products,12295554048.0,11.160963,1.2131649,Not Available,0.0305,7.89,54501998592.0,0.02112,2486000128,Not Available
PARA,$10.85,$10.31,"$0.54
",Paramount Global,Communication Services,Entertainment,7761040896.0,Not Available,0.43802646,Not Available,0.0182,-9.06,28867000320.0,-0.18887,3124999936,Not Available
ADI,$218.05,$187.21,"$30.84
","Analog Devices, Inc.",Technology,Semiconductors,109919854592.0,67.52439,3.12485,Not Available,0.0165,3.28,9700435968.0,0.17068,4361349120,Not Available
F,$11.13,$10.20,"$0.93
",Ford Motor Company,Consumer Cyclical,Auto Manufacturers,43121045504.0,12.329546,0.9730942,Not Available,0.0546,0.88,182743007232.0,0.01931,9360000000,Not Available
ADBE,$515.93,$458.71,"$57.22
",Adobe Inc.,Technology,Software - Infrastructure,224719896576.0,43.189087,15.618631,Not Available,Not Available,11.82,20946999296.0,0.25588,8134000128,Not Available
STLD,$145.27,$112.37,"$32.90
","Steel Dynamics, Inc.",Basic Materials,Steel,21920233472.0,12.947842,2.4263566,Not Available,0.0127,11.12,17901674496.0,0.09799,2689149952,Not Available
SMCI,$32.64,$27.92,"$4.72
","Super Micro Computer, Inc.",Technology,Computer Hardware,24060866560.0,20.442787,4.408798,Not Available,Not Available,2.01,14942854144.0,0.08085,1304590720,Not Available
CPRT,$63.39,$48.48,"$14.91
","Copart, Inc.",Industrials,Specialty Business Services,59435225088.0,43.136368,7.8951745,Not Available,Not Available,1.43,4236823040.0,0.32171002,1754322944,Not Available
TDG,$1252.97,$1001.79,"$251.18
",TransDigm Group Incorporated,Industrials,Aerospace & Defense,70819659776.0,49.216682,Not Available,Not Available,Not Available,25.59,7939999744.0,0.21587,3888000000,Not Available
TFX,$192.85,$194.30,"$-1.45
",Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,8821981184.0,37.763416,1.968455,Not Available,0.0069999998,5.03,3025824000.0,0.07847,644953984,Not Available
ULTA,$386.64,$346.13,"$40.51
","Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,18472921088.0,15.746346,7.8979135,Not Available,Not Available,24.9,11321165824.0,0.10684,1827608064,Not Available
ARE,$110.23,$107.33,"$2.90
","Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,18979153920.0,66.62576,1.026795,Not Available,0.047399998,1.63,3085452032.0,0.09618,1905123968,Not Available
SYK,$392.15,$298.29,"$93.86
",Stryker Corporation,Healthcare,Medical Devices,148056670208.0,41.716434,7.3480277,Not Available,0.0082,9.31,21973999616.0,0.16337,5693000192,Not Available
KVUE,$24.08,$18.36,"$5.72
",Kenvue Inc.,Consumer Defensive,Household & Personal Products,45419892736.0,43.072727,4.2646265,Not Available,0.033800002,0.55,15459000320.0,0.06883,3454000128,Not Available
CB,$288.73,$226.92,"$61.81
",Chubb Limited,Financial Services,Insurance - Property & Casualty,115658883072.0,11.7688675,1.7586037,Not Available,0.0126,24.38,54697000960.0,0.18277,11363000320,Not Available
TSN,$64.50,$48.69,"$15.81
","Tyson Foods, Inc.",Consumer Defensive,Farm Products,22890950656.0,28.588888,1.2446306,Not Available,0.0311,2.25,53309001728.0,0.01501,3144000000,Not Available
GNRC,$188.20,$118.55,"$69.65
",Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,11061737472.0,38.73333,4.590957,Not Available,Not Available,4.8,4124702976.0,0.07169,660542976,Not Available
PEP,$163.45,$159.36,"$4.09
","PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,223087214592.0,23.982477,11.476651,Not Available,0.0332,6.78,91919998976.0,0.1018,16913000448,Not Available
PEG,$94.30,$60.97,"$33.33
",Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,45976203264.0,22.673218,2.8552864,Not Available,0.025999999,4.07,10430000128.0,0.19482,4044999936,Not Available
NOW,$1049.44,$686.12,"$363.31
","ServiceNow, Inc.",Technology,Software - Application,215485710336.0,163.19374,23.195343,Not Available,Not Available,6.4,10464000000.0,0.12768,1824000000,Not Available
LLY,$795.35,$609.24,"$186.11
",Eli Lilly and Company,Healthcare,Drug Manufacturers - General,729250856960.0,87.38093,51.24139,Not Available,0.0064999997,9.28,40863301632.0,0.20482999,16566500352,Not Available
COST,$971.88,$630.12,"$341.76
",Costco Wholesale Corporation,Consumer Defensive,Discount Stores,431111045120.0,58.68517,18.252422,Not Available,0.0047999998,16.58,254453006336.0,0.02895,11521999872,Not Available
REG,$75.59,$59.03,"$16.56
",Regency Centers Corporation,Real Estate,REIT - Retail,13640369152.0,35.23585,2.0669618,Not Available,0.0378,2.12,1489812992.0,0.27096,917937984,Not Available
NWS,$32.09,$23.82,"$8.27
",News Corporation,Communication Services,Entertainment,17422106624.0,52.469353,2.2438266,Not Available,0.0062,0.62,10163000320.0,0.034930002,1270000000,Not Available
LOW,$272.43,$207.25,"$65.18
","Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,152534548480.0,22.47421,Not Available,Not Available,0.016900001,12.02,84023001088.0,0.08248,12433000448,Not Available
MDLZ,$64.95,$65.20,"$-0.25
","Mondelez International, Inc.",Consumer Defensive,Confectioners,86587064320.0,22.962057,3.1086414,Not Available,0.028800001,2.82,36151001088.0,0.10556,7414000128,Not Available
BKNG,$5201.98,$3339.90,"$1862.08
",Booking Holdings Inc.,Consumer Cyclical,Travel Services,172961710080.0,35.3463,Not Available,Not Available,0.0067000003,147.85,23051999232.0,0.21846001,7183000064,Not Available
ZBRA,$407.00,$246.09,"$160.91
",Zebra Technologies Corporation,Technology,Communication Equipment,21042575360.0,55.58038,6.146475,Not Available,Not Available,7.34,4656000000.0,0.082040004,803000000,Not Available
FMC,$59.09,$52.64,"$6.45
",FMC Corporation,Basic Materials,Agricultural Inputs,7522604544.0,4.943388,1.632573,Not Available,0.039100002,12.19,4167899904.0,0.34931,703299968,Not Available
XEL,$72.56,$50.91,"$21.65
",Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,41010929664.0,21.192139,2.1187108,Not Available,0.0308,3.37,13763000320.0,0.13667,5510000128,Not Available
AIZ,$227.10,$170.81,"$56.29
","Assurant, Inc.",Financial Services,Insurance - Property & Casualty,11619673088.0,16.182858,2.2148576,Not Available,0.014199999,14.0,11755799552.0,0.06307,1241900032,Not Available
MET,$88.23,$64.99,"$23.24
","MetLife, Inc.",Financial Services,Insurance - Life,59278073856.0,17.365112,1.92274,Not Available,0.0251,4.93,71343996928.0,0.052729998,7036000256,Not Available
FTV,$79.33,$68.98,"$10.35
",Fortive Corporation,Technology,Scientific & Technical Instruments,27183452160.0,31.34,2.5751002,Not Available,0.0041,2.5,6195200000.0,0.14355,1698499968,Not Available
DLR,$195.69,$137.12,"$58.57
","Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,64727584768.0,155.64227,3.092131,Not Available,0.0254,1.23,5374854144.0,0.08209,2337596928,Not Available
ACGL,$100.72,$77.49,"$23.23
",Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,37479346176.0,6.6855707,1.7404864,Not Available,Not Available,14.9,16867000320.0,0.33859003,5171999744,Not Available
FAST,$83.56,$62.11,"$21.45
",Fastenal Company,Industrials,Industrial Distribution,47228723200.0,41.014927,13.12948,Not Available,0.0189,2.01,7480099840.0,0.15439999,1693200000,Not Available
TJX,$125.69,$91.53,"$34.16
","The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,140427935744.0,29.364908,19.327414,Not Available,0.0125,4.24,55623000064.0,0.08563,7125000192,Not Available
SNA,$369.69,$266.36,"$103.33
",Snap-on Incorporated,Industrials,Tools & Accessories,19114006528.0,18.725565,3.4910426,Not Available,0.0233,19.44,5103000064.0,0.20402001,1480000000,Not Available
MPC,$156.15,$149.33,"$6.82
",Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,50164002816.0,12.108999,2.6793408,Not Available,0.0231,12.89,142670004224.0,0.031719998,10341000192,Not Available
BR,$236.02,$191.33,"$44.69
","Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,27039932416.0,39.95337,12.256543,Not Available,0.015,5.79,6498599936.0,0.10572,1545799936,Not Available
D,$58.75,$45.83,"$12.92
","Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,48355172352.0,21.241697,1.8468078,Not Available,0.0466,2.71,14593000448.0,0.16946,7032000000,Not Available
MRK,$101.64,$99.87,"$1.77
","Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,258845392896.0,21.406902,5.821859,Not Available,0.0322,4.78,63174000640.0,0.19229001,22927998976,Not Available
STX,$101.33,$79.74,"$21.59
",Seagate Technology Holdings plc,Technology,Computer Hardware,20823013376.0,25.436693,Not Available,Not Available,0.0279,3.87,7264999936.0,0.11342,1211000064,Not Available
NOC,$489.65,$435.47,"$54.18
",Northrop Grumman Corporation,Industrials,Aerospace & Defense,70612541440.0,29.843597,4.7918296,Not Available,0.017,16.24,40985001984.0,0.05795,4457999872,Not Available
BXP,$81.99,$57.06,"$24.93
","BXP, Inc.",Real Estate,REIT - Office,14079053824.0,34.70652,2.1896858,Not Available,0.048499998,2.3,3344005120.0,0.10857,1870726016,Not Available
KHC,$31.97,$31.39,"$0.58
",The Kraft Heinz Company,Consumer Defensive,Packaged Foods,38270230528.0,28.513514,0.7917647,Not Available,0.0506,1.11,26129999872.0,0.05243,6446000128,Not Available
IPG,$30.81,$27.75,"$3.06
","The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies,11132431360.0,14.096699,2.9879024,Not Available,0.0438,2.12,9338900480.0,0.086540006,1732099968,Not Available
ABNB,$136.11,$118.76,"$17.35
","Airbnb, Inc.",Consumer Cyclical,Travel Services,86068584448.0,48.0,10.35478,Not Available,Not Available,2.87,10840000512.0,0.16956,1672999936,Not Available
UNP,$244.66,$223.59,"$21.07
",Union Pacific Corporation,Industrials,Railroads,143992094720.0,21.829962,8.6920395,Not Available,0.0223,10.88,24288000000.0,0.27326,12030000128,Not Available
ALLE,$140.84,$109.00,"$31.84
",Allegion plc,Industrials,Security & Protection Services,12199196672.0,21.589954,7.7648816,Not Available,0.0137,6.5,3724000000.0,0.15359999,888400000,Not Available
ABBV,$182.93,$144.64,"$38.29
",AbbVie Inc.,Healthcare,Drug Manufacturers - General,323740041216.0,63.832752,53.677113,Not Available,0.0361,2.87,55532998656.0,0.09222999,25629999104,Not Available
ORCL,$184.84,$109.71,"$75.13
",Oracle Corporation,Technology,Software - Infrastructure,502310043648.0,46.71907,46.44376,Not Available,0.0088,3.88,53815001088.0,0.20396,21802999808,Not Available
ECL,$248.77,$194.66,"$54.11
",Ecolab Inc.,Basic Materials,Specialty Chemicals,69666340864.0,34.50631,10.488107,Not Available,0.0092,7.13,15674600448.0,0.13045,3538599936,Not Available
ETR,$156.17,$103.20,"$52.97
",Entergy Corporation,Utilities,Utilities - Regulated Electric,32847304704.0,18.614824,2.185044,Not Available,0.0313,8.23,11862153216.0,0.1481,4596974080,Not Available
EBAY,$63.29,$43.32,"$19.97
",eBay Inc.,Consumer Cyclical,Internet Retail,30232373248.0,15.898136,5.61277,Not Available,0.0171,3.97,10266000384.0,0.19677,2619000064,Not Available
SBUX,$102.46,$75.53,"$26.93
",Starbucks Corporation,Consumer Cyclical,Restaurants,114474106880.0,30.503021,Not Available,Not Available,0.024,3.31,36176199680.0,0.10396,6700000256,Not Available
IR,$104.17,$72.95,"$31.22
",Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,41929367552.0,50.75122,4.0872126,Not Available,0.0008,2.05,7157799936.0,0.11715999,1901100032,Not Available
AMT,$209.00,$178.18,"$30.82
",American Tower Corporation,Real Estate,REIT - Specialty,97746812928.0,50.404457,26.841845,Not Available,0.0313,4.15,11167699968.0,0.09942,6966099968,Not Available
INTU,$641.73,$575.74,"$65.99
",Intuit Inc.,Technology,Software - Application,177587732480.0,61.77507,9.644725,Not Available,0.0061000003,10.27,16284999680.0,0.18195,4496000000,Not Available
DPZ,$476.19,$386.65,"$89.54
","Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,15918216192.0,28.332514,Not Available,Not Available,0.012999999,16.27,4665474048.0,0.122609995,921121024,Not Available
PAYC,$231.92,$145.09,"$86.83
","Paycom Software, Inc.",Technology,Software - Application,13297722368.0,27.718151,8.567634,Not Available,0.0064999997,8.32,1823922048.0,0.25779,667798016,Not Available
PG,$179.26,$147.47,"$31.79
",The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,417313095680.0,30.551723,8.17494,Not Available,0.0224,5.8,83905003520.0,0.17063,24039999488,Not Available
CAT,$406.11,$264.45,"$141.66
",Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,191906545664.0,18.461912,9.893593,Not Available,0.0139999995,21.53,65664000000.0,0.1626,15818999808,Not Available
ODFL,$225.14,$175.97,"$49.17
","Old Dominion Freight Line, Inc.",Industrials,Trucking,46744322048.0,38.344135,11.209554,Not Available,0.0046,5.71,5924531200.0,0.21027,1971409024,Not Available
MCD,$296.01,$252.81,"$43.20
",McDonald's Corporation,Consumer Cyclical,Restaurants,209231544320.0,25.656414,Not Available,Not Available,0.0242,11.38,25938700288.0,0.3179,13845499904,Not Available
MNST,$55.13,$46.59,"$8.54
",Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,53060694016.0,34.97436,9.180549,Not Available,Not Available,1.56,7410776064.0,0.21662001,2105284992,Not Available
AMZN,$207.89,$152.08,"$55.81
","Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2233175900160.0,45.380344,8.614074,Not Available,Not Available,4.68,620127977472.0,0.080419995,111583002624,Not Available
GEHC,$83.22,$70.10,"$13.12
",GE HealthCare Technologies Inc.,Healthcare,Health Information Services,37607501824.0,22.552055,4.52156,Not Available,0.0017,3.65,19559000064.0,0.08564,3571000064,Not Available
EG,$387.56,$354.34,"$33.22
","Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,16663232512.0,6.0504055,1.0871552,Not Available,0.0208,64.08,16436500480.0,0.16853,Not Available,Not Available
INTC,$24.05,$22.12,"$1.93
",Intel Corporation,Technology,Semiconductors,97809350656.0,Not Available,0.9817654,Not Available,0.0224,-3.74,54246998016.0,-0.29423,10439000064,Not Available
PNR,$108.99,$68.38,"$40.61
",Pentair plc,Industrials,Specialty Industrial Machinery,17928390656.0,27.12625,5.124203,Not Available,0.0084,4.0,4094500096.0,0.16290002,978700032,Not Available
GLW,$48.67,$29.82,"$18.85
",Corning Incorporated,Technology,Electronic Components,41975648256.0,258.02634,3.5942082,Not Available,0.0227,0.19,12611000320.0,0.01237,2607000064,Not Available
BDX,$221.90,$226.06,"$-4.16
","Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,64066539520.0,37.81399,2.476696,Not Available,0.0175,5.86,19828000768.0,0.07126,5109000192,Not Available
KMI,$28.27,$17.78,"$10.49
","Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,60517470208.0,24.106195,1.9903551,Not Available,0.0419,1.13,15150999552.0,0.16765,6568999936,Not Available
CSGP,$81.34,$73.86,"$7.48
","CoStar Group, Inc.",Real Estate,Real Estate Services,32669712384.0,189.73811,4.3563113,Not Available,Not Available,0.42,2666899968.0,0.06577,170300000,Not Available
PWR,$344.52,$198.11,"$146.41
","Quanta Services, Inc.",Industrials,Engineering & Construction,50031611904.0,62.65065,7.0755486,Not Available,0.0011999999,5.41,22903320576.0,0.03539,1868978048,Not Available
APTV,$55.53,$55.71,"$-0.18
",Aptiv PLC,Consumer Cyclical,Auto Parts,13020994560.0,6.1692657,1.4657248,Not Available,Not Available,8.98,19725000704.0,0.122889996,3032999936,Not Available
DXCM,$77.99,$71.60,"$6.39
","DexCom, Inc.",Healthcare,Medical Devices,31208542208.0,48.424244,15.7687,Not Available,Not Available,1.65,3953999872.0,0.17218,840400000,Not Available
EXR,$170.96,$132.38,"$38.58
",Extra Space Storage Inc.,Real Estate,REIT - Industrial,36670468096.0,44.336,2.515546,Not Available,0.0382,3.75,3311250944.0,0.24412,2260791040,Not Available
WELL,$138.18,$91.36,"$46.82
",Welltower Inc.,Real Estate,REIT - Healthcare Facilities,82880036864.0,84.77707,2.7133918,Not Available,0.02,1.57,7555548160.0,0.121190004,2930661888,Not Available
HOLX,$79.50,$69.91,"$9.59
","Hologic, Inc.",Healthcare,Medical Instruments & Supplies,17769480192.0,23.58434,3.670026,Not Available,Not Available,3.32,3987599872.0,0.17592,1242700032,Not Available
EXPD,$121.64,$113.31,"$8.33
","Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,16930797568.0,23.577972,7.183881,Not Available,0.012,5.13,9923577856.0,0.073860005,1006916992,Not Available
GM,$55.59,$31.40,"$24.19
",General Motors Company,Consumer Cyclical,Auto Manufacturers,59234353152.0,5.749093,0.83535963,Not Available,0.0087,9.37,182719004672.0,0.06058,18371000320,Not Available
TXN,$201.03,$159.35,"$41.68
",Texas Instruments Incorporated,Technology,Semiconductors,181157183488.0,36.844154,10.488539,Not Available,0.027,5.39,15710999552.0,0.31601998,6896999936,Not Available
VRSK,$294.21,$224.82,"$69.39
","Verisk Analytics, Inc.",Industrials,Consulting Services,40591106048.0,44.428135,135.65363,Not Available,0.0053,6.47,2823300096.0,0.32650003,1363000064,Not Available
FI,$220.96,$135.46,"$85.50
","Fiserv, Inc.",Technology,Information Technology Services,123722301440.0,41.982452,4.4667687,Not Available,Not Available,5.18,20121999360.0,0.15222,8766000128,Not Available
SJM,$117.79,$109.61,"$8.18
",The J. M. Smucker Company,Consumer Defensive,Packaged Foods,12600719360.0,23.921213,1.6343461,Not Available,0.038,4.95,8498599936.0,0.08771,1977900032,Not Available
TMO,$529.63,$499.78,"$29.85
",Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,203512954880.0,33.357994,4.1539927,Not Available,0.0029,15.95,42369998848.0,0.14479999,10581999616,Not Available
OXY,$50.58,$51.47,"$-0.89
",Occidental Petroleum Corporation,Energy,Oil & Gas E&P,47198650368.0,13.780822,1.7883809,Not Available,0.0175,3.65,27136999424.0,0.16254999,12931000320,Not Available
RL,$231.40,$137.09,"$94.31
",Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,14571365376.0,22.390268,5.9663353,Not Available,0.014099999,10.48,6740100096.0,0.10145,1059800000,Not Available
DECK,$195.96,$120.17,"$75.79
",Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,30948032512.0,36.054867,13.927937,Not Available,Not Available,5.65,4656732160.0,0.18799,1145432064,Not Available
CCI,$106.25,$95.79,"$10.46
",Crown Castle Inc.,Real Estate,REIT - Specialty,45839224832.0,37.40248,8.663244,Not Available,0.0594,2.82,6592999936.0,0.18626,3993999872,Not Available
MMM,$133.53,$82.44,"$51.09
",3M Company,Industrials,Conglomerates,71544160256.0,13.671177,15.412951,Not Available,0.0211,9.61,32637999104.0,0.13451,8117000192,Not Available
MOS,$26.46,$25.85,"$0.61
",The Mosaic Company,Basic Materials,Agricultural Inputs,8716178432.0,24.283186,0.7386471,Not Available,0.0305,1.13,11456400384.0,0.0324,1908199936,Not Available
FTNT,$95.05,$55.55,"$39.50
","Fortinet, Inc.",Technology,Software - Infrastructure,72675074048.0,47.64824,79.94941,Not Available,Not Available,1.99,5710799872.0,0.26790002,1727900032,Not Available
HSY,$176.13,$174.70,"$1.43
",The Hershey Company,Consumer Defensive,Confectioners,36357124096.0,20.651724,8.645878,Not Available,0.0308,8.7,10971834368.0,0.16166,2952748032,Not Available
JNPR,$35.92,$28.48,"$7.44
","Juniper Networks, Inc.",Technology,Communication Equipment,11755315200.0,46.717106,2.5304682,Not Available,0.0247,0.76,5034299904.0,0.0497,498500000,Not Available
DHI,$168.78,$133.06,"$35.72
","D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,53555093504.0,11.620209,2.134564,Not Available,0.0095999995,14.35,36801400832.0,0.12925,6202899968,Not Available
ED,$100.59,$88.40,"$12.19
","Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,34204721152.0,18.56015,1.5601447,Not Available,0.0337,5.32,15031000064.0,0.12267999,5555999744,Not Available
ES,$64.49,$54.34,"$10.15
",Eversource Energy,Utilities,Utilities - Regulated Electric,22762723328.0,Not Available,1.5026728,Not Available,0.044899996,-1.61,11623559168.0,-0.047259998,4149131008,Not Available
ADSK,$291.90,$211.43,"$80.47
","Autodesk, Inc.",Technology,Software - Application,63881179136.0,58.813496,34.19705,Not Available,Not Available,5.04,5805000192.0,0.18208,1396000000,Not Available
